"title_id","group","title","image","options"
11,NULL,"我善于控制自己的面部表情",NULL,"[{""id"": 1, ""name"": ""\u662f\u7684"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u4e0d\u592a\u786e\u5b9a"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""0""}]"
12,NULL,"在就寝时，我常常",NULL,"[{""id"": 1, ""name"": ""\u6781\u6613\u5165\u7761"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u4ecb\u4e8e1\u30013\u4e4b\u95f4"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u4e0d\u6613\u5165\u7761"", ""mark"": ""0""}]"
13,NULL,"有人侵扰我时，我",NULL,"[{""id"": 1, ""name"": ""\u4e0d\u9732\u58f0\u8272"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u4ecb\u4e8e1\u30013\u4e4b\u95f4"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u5927\u58f0\u6297\u8bae\uff0c\u4ee5\u6cc4\u5df1\u6124"", ""mark"": ""0""}]"
14,NULL,"在和人争辨或工作出现失误后，我常常感到震颤，精疲力竭，而不能继续安心工作",NULL,"[{""id"": 1, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u4ecb\u4e8e1\u30013\u4e4b\u95f4"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f\u7684"", ""mark"": ""0""}]"
15,NULL,"我常常被一些无谓的小事困扰",NULL,"[{""id"": 1, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u4ecb\u4e8e1\u30013\u4e4b\u95f4"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f\u7684"", ""mark"": ""0""}]"
16,NULL,"我宁愿住在僻静的郊区，也不愿住在嘈杂的市区",NULL,"[{""id"": 1, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u4e0d\u592a\u786e\u5b9a"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f\u7684"", ""mark"": ""0""}]"
17,NULL,"我被朋友、同事起过绰号、挖苦过",NULL,"[{""id"": 1, ""name"": ""\u4ece\u6765\u6ca1\u6709"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u5076\u5c14\u6709\u8fc7"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u8fd9\u662f\u5e38\u6709\u7684\u4e8b"", ""mark"": ""0""}]"
18,NULL,"有一种食物使我吃后呕吐",NULL,"[{""id"": 1, ""name"": ""\u6ca1\u6709"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u8bb0\u4e0d\u6e05"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u6709"", ""mark"": ""0""}]"
19,NULL,"除去看见的世界外，我的心中没有另外的世界",NULL,"[{""id"": 1, ""name"": ""\u6ca1\u6709"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u8bb0\u4e0d\u6e05"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u6709"", ""mark"": ""0""}]"
20,NULL,"我会想到若干年后有什么使自己极为不安的事",NULL,"[{""id"": 1, ""name"": ""\u4ece\u6765\u6ca1\u6709\u60f3\u8fc7"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u5076\u5c14\u60f3\u5230\u8fc7"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u7ecf\u5e38\u60f3\u5230"", ""mark"": ""0""}]"
21,NULL,"我常常觉得自己的家庭对自己不好，但是我又确切地知道他们的确对我好",NULL,"[{""id"": 1, ""name"": ""\u5426"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u8bf4\u4e0d\u6e05\u695a"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f"", ""mark"": ""0""}]"
22,NULL,"每天我一回家就立刻把门关上",NULL,"[{""id"": 1, ""name"": ""\u5426"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u8bf4\u4e0d\u6e05\u695a"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f"", ""mark"": ""0""}]"
23,NULL,"我坐在小房间里把门关上，但我仍觉得心里不安",NULL,"[{""id"": 1, ""name"": ""\u5426"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u5076\u5c14\u662f"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f"", ""mark"": ""0""}]"
24,NULL,"当一件事需要我作决定时，我常觉得很难",NULL,"[{""id"": 1, ""name"": ""\u5426"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u5076\u5c14\u662f"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f"", ""mark"": ""0""}]"
25,NULL,"我常常用抛硬币、翻纸、抽签之类的游戏来预测凶吉",NULL,"[{""id"": 1, ""name"": ""\u5426"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u5076\u5c14\u662f"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u662f"", ""mark"": ""0""}]"
26,NULL,"为了工作我早出晚归，早晨起床我常常感到疲惫不堪",NULL,"[{""id"": 1, ""name"": ""\u662f"", ""mark"": ""0""}, {""id"": 2, ""name"": ""\u5426"", ""mark"": ""5""}]"
27,NULL,"在某种心境下,我会因为困惑陷入空想,将工作搁置下来",NULL,"[{""id"": 1, ""name"": ""\u662f"", ""mark"": ""0""}, {""id"": 2, ""name"": ""\u5426"", ""mark"": ""5""}]"
28,NULL,"我的神经脆弱,稍有刺激就会使我战栗",NULL,"[{""id"": 1, ""name"": ""\u662f"", ""mark"": ""0""}, {""id"": 2, ""name"": ""\u5426"", ""mark"": ""5""}]"
29,NULL,"睡梦中,我常常被噩梦惊醒",NULL,"[{""id"": 1, ""name"": ""\u662f"", ""mark"": ""0""}, {""id"": 2, ""name"": ""\u5426"", ""mark"": ""5""}]"
30,NULL,"工作中我愿意挑战艰巨的任务",NULL,"[{""id"": 1, ""name"": ""\u4ece\u4e0d"", ""mark"": ""1""}, {""id"": 2, ""name"": ""\u51e0\u4e4e\u4e0d"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u4e00\u534a\u65f6\u95f4"", ""mark"": ""3""}, {""id"": 4, ""name"": ""\u5927\u591a\u6570\u65f6\u95f4"", ""mark"": ""4""}, {""id"": 5, ""name"": ""\u603b\u662f"", ""mark"": ""5""}]"
31,NULL,"我常发现别人好的意愿",NULL,"[{""id"": 1, ""name"": ""\u4ece\u4e0d"", ""mark"": ""1""}, {""id"": 2, ""name"": ""\u51e0\u4e4e\u4e0d"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u4e00\u534a\u65f6\u95f4"", ""mark"": ""3""}, {""id"": 4, ""name"": ""\u5927\u591a\u6570\u65f6\u95f4"", ""mark"": ""4""}, {""id"": 5, ""name"": ""\u603b\u662f"", ""mark"": ""5""}]"
32,NULL,"能听取不同的意见，包括对自己的批评",NULL,"[{""id"": 1, ""name"": ""\u4ece\u4e0d"", ""mark"": ""1""}, {""id"": 2, ""name"": ""\u51e0\u4e4e\u4e0d"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u4e00\u534a\u65f6\u95f4"", ""mark"": ""3""}, {""id"": 4, ""name"": ""\u5927\u591a\u6570\u65f6\u95f4"", ""mark"": ""4""}, {""id"": 5, ""name"": ""\u603b\u662f"", ""mark"": ""5""}]"
33,NULL,"我时常勉励自己，对未来充满希望",NULL,"[{""id"": 1, ""name"": ""\u4ece\u4e0d"", ""mark"": ""1""}, {""id"": 2, ""name"": ""\u51e0\u4e4e\u4e0d"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u4e00\u534a\u65f6\u95f4"", ""mark"": ""3""}, {""id"": 4, ""name"": ""\u5927\u591a\u6570\u65f6\u95f4"", ""mark"": ""4""}, {""id"": 5, ""name"": ""\u603b\u662f"", ""mark"": ""5""}]"
